preset,sigmas,stage2_seconds,frame_psnr_db,motion_ratio,second_difference_ratio,decision
official,"0.85;0.725;0.4219;0.0",108.7,inf,1.0,1.0,quality_reference
coherent-fast,"0.85;0.725;0.0",78.3,34.727,0.9719,0.9538,default
drop-midpoint,"0.85;0.4219;0.0",78.6,33.514,0.9201,0.9183,rejected
